study_id	feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
P-hsa04621-442	GSE147507	NOD-like receptor signaling pathway: MAPK14	8.30653616145094e-05	0.584790035600508	0.261709220234288	0.798557771226754	0.823313047653595	-11.0297238767873
P-hsa04621-4 7 82	GSE147507	NOD-like receptor signaling pathway: IKBKG CHUK IKBKB	1.6894231204323e-05	0.666418128387197	0.228882655901775	0.823313047653595	0.823313047653595	-11.0384852941923
P-hsa04630-363	GSE17400	Jak-STAT signaling pathway: GFAP	-0.00601112490459292	0.0215234336783703	-1.74207152683616	0.0992950064811773	0.136710795289615	-8.34592893132499
P-hsa04621-423	GSE17400	NOD-like receptor signaling pathway: MAPK8	-0.00181448923971844	0.217752462589378	-1.73150966990873	0.101203754818285	0.136710795289615	-8.36244706563205
P-hsa04621-443	GSE17400	NOD-like receptor signaling pathway: MAPK14	-0.00181448923971844	0.217752462589378	-1.73150966990873	0.101203754818285	0.136710795289615	-8.36244706563205
P-hsa04621-283	GSE17400	NOD-like receptor signaling pathway: CASP8	-0.00145279084236799	0.155272023620713	-1.71804105769083	0.103683886477185	0.136710795289615	-8.38340847615891
P-hsa04621-433	GSE17400	NOD-like receptor signaling pathway: MAPK1	-0.000810204185783578	0.0865933621026627	-1.66521000377459	0.113925662741346	0.136710795289615	-8.4645019446058
P-hsa04621-4 7 83	GSE17400	NOD-like receptor signaling pathway: IKBKG CHUK IKBKB	-0.000358362940975521	0.349317306417546	-1.42719212569313	0.171374917008656	0.171374917008656	-8.80625017680267
P-hsa04668-36	GSE33267	TNF signaling pathway: CREB3	1.32372975360793e-05	0.00641368510172655	0.929456672560671	0.356104399444542	0.439418234243739	-11.4483394672049
P-hsa04621-424	GSE33267	NOD-like receptor signaling pathway: MAPK8	-0.000252705974696704	0.208918799520345	-0.784935140161171	0.435353939846552	0.439418234243739	-11.5727145943302
P-hsa04621-444	GSE33267	NOD-like receptor signaling pathway: MAPK14	-0.000252705974696704	0.208918799520345	-0.784935140161171	0.435353939846552	0.439418234243739	-11.5727145943302
P-hsa04630-364	GSE33267	Jak-STAT signaling pathway: GFAP	-0.000798206128561916	0.0141430636257738	-0.783202647251559	0.43636323571217	0.439418234243739	-11.5740809926655
P-hsa04621-284	GSE33267	NOD-like receptor signaling pathway: CASP8	-0.000200850870786834	0.148829043295258	-0.782899199124603	0.436540156948446	0.439418234243739	-11.5743200140207
P-hsa04621-434	GSE33267	NOD-like receptor signaling pathway: MAPK1	-0.000110987472857857	0.0822409150555388	-0.782163684592163	0.436969163978938	0.439418234243739	-11.5748989901976
P-hsa04621-4 7 84	GSE33267	NOD-like receptor signaling pathway: IKBKG CHUK IKBKB	-4.9657297473471e-05	0.342147500732894	-0.777972976037163	0.439418234243739	0.439418234243739	-11.5781876071339
P-hsa04630-365	GSE45042	Jak-STAT signaling pathway: GFAP	0.00985314388773095	0.0416124588034144	1.88339468692518	0.0690939645172028	0.0860449669306457	-8.72365291527083
P-hsa04621-425	GSE45042	NOD-like receptor signaling pathway: MAPK8	0.00108521232179942	0.378217902634376	1.87589263175341	0.07015003377919	0.0860449669306457	-8.73671615064855
P-hsa04621-445	GSE45042	NOD-like receptor signaling pathway: MAPK14	0.00108521232179942	0.378217902634376	1.87589263175341	0.07015003377919	0.0860449669306457	-8.73671615064855
P-hsa04621-285	GSE45042	NOD-like receptor signaling pathway: CASP8	0.000974826059260026	0.272649949726504	1.87537559486329	0.0702233265186322	0.0860449669306457	-8.73761493359031
P-hsa04621-435	GSE45042	NOD-like receptor signaling pathway: MAPK1	0.000643239602708207	0.179908244834591	1.86502751729265	0.0717041391088714	0.0860449669306457	-8.75556185403206
P-hsa04621-4 7 85	GSE45042	NOD-like receptor signaling pathway: IKBKG CHUK IKBKB	0.000218797536801485	0.496598545676494	1.73992035094177	0.0918310942550796	0.0918310942550796	-8.96618364394225
P-hsa04630-366	GSE56192	Jak-STAT signaling pathway: GFAP	0.00394051389932834	0.0460785440849904	0.44065495262637	0.663464690182604	0.684837112957225	-11.0021344747372
P-hsa04621-286	GSE56192	NOD-like receptor signaling pathway: CASP8	0.000148745199727907	0.40680389920575	0.439480873655861	0.66430298196982	0.684837112957225	-11.0026686217222
P-hsa04621-426	GSE56192	NOD-like receptor signaling pathway: MAPK8	0.000138880944269171	0.545202399524203	0.439429596217161	0.664339604236268	0.684837112957225	-11.0026919184303
P-hsa04621-446	GSE56192	NOD-like receptor signaling pathway: MAPK14	0.000138880944269171	0.545202399524203	0.439429596217161	0.664339604236268	0.684837112957225	-11.0026919184303
P-hsa04621-436	GSE56192	NOD-like receptor signaling pathway: MAPK1	0.000111114743577334	0.303888199613158	0.438556298526953	0.664963443006856	0.684837112957225	-11.0030882702338
P-hsa04621-4 7 86	GSE56192	NOD-like receptor signaling pathway: IKBKG CHUK IKBKB	2.81104767989593e-05	0.634909351840174	0.410911477064709	0.684837112957225	0.684837112957225	-11.0152336933075
P-hsa04621-427	GSE56677	NOD-like receptor signaling pathway: MAPK8	-3.77086899154694e-05	0.0911583716770038	-0.0674543837542773	0.946631531258776	0.953614192016668	-10.5629841733841
P-hsa04621-447	GSE56677	NOD-like receptor signaling pathway: MAPK14	-3.77086899154694e-05	0.0911583716770038	-0.0674543837542773	0.946631531258776	0.953614192016668	-10.5629841733841
P-hsa04630-367	GSE56677	Jak-STAT signaling pathway: GFAP	-4.88266816955976e-05	0.00661824943681464	-0.0665653239990977	0.947333859205823	0.953614192016668	-10.5630455657051
P-hsa04621-287	GSE56677	NOD-like receptor signaling pathway: CASP8	-2.84440287230958e-05	0.0664628957061984	-0.0661748882027298	0.947642304204663	0.953614192016668	-10.5630722691756
P-hsa04621-437	GSE56677	NOD-like receptor signaling pathway: MAPK1	-1.24599879882184e-05	0.0291142612117703	-0.0638377637407223	0.949488806874399	0.953614192016668	-10.5632288308279
P-hsa04621-4 7 87	GSE56677	NOD-like receptor signaling pathway: IKBKG CHUK IKBKB	-7.00185467747416e-06	0.208250979690725	-0.0586175285905155	0.953614192016668	0.953614192016668	-10.5635582067421
